input,tags,phase,matches_json,top_fuzzy_json
there's a tingle — something opened in me.,initiatory_signal,initiatory,"[{""category"": ""initiatory"", ""pattern"": ""\\bsomething opened\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""synonym_group"", ""pattern"": ""something opened"", ""match_type"": ""fuzzy"", ""score"": 0.9411764705882353}]","[{""group"": ""opened"", ""phrase"": ""something opened"", ""window"": ""something opened"", ""score"": 1.0}, {""group"": ""opened"", ""phrase"": ""opening in me"", ""window"": ""opened in me."", ""score"": 0.7692}, {""group"": ""opened"", ""phrase"": ""an opening opened"", ""window"": ""— something opened"", ""score"": 0.7429}]"
there's a flutter — something opened in me.,initiatory_signal,initiatory,"[{""category"": ""initiatory"", ""pattern"": ""\\bsomething opened\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""synonym_group"", ""pattern"": ""something opened"", ""match_type"": ""fuzzy"", ""score"": 0.9411764705882353}]","[{""group"": ""opened"", ""phrase"": ""something opened"", ""window"": ""something opened"", ""score"": 1.0}, {""group"": ""opened"", ""phrase"": ""opening in me"", ""window"": ""opened in me."", ""score"": 0.7692}, {""group"": ""opened"", ""phrase"": ""an opening opened"", ""window"": ""— something opened"", ""score"": 0.7429}]"
there's a spark — something what's opening in me.,initiatory_signal,initiatory,"[{""category"": ""initiatory"", ""pattern"": ""\\bspark\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""synonym_group"", ""pattern"": ""opening in me"", ""match_type"": ""fuzzy"", ""score"": 0.9629629629629629}]","[{""group"": ""opened"", ""phrase"": ""what's opening"", ""window"": ""what's opening"", ""score"": 1.0}, {""group"": ""opened"", ""phrase"": ""opening in me"", ""window"": ""opening in me."", ""score"": 0.963}, {""group"": ""opened"", ""phrase"": ""something opened"", ""window"": ""— something"", ""score"": 0.6667}]"
there's a spark — something an opening in me.,initiatory_signal,initiatory,"[{""category"": ""initiatory"", ""pattern"": ""\\bspark\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""synonym_group"", ""pattern"": ""opening in me"", ""match_type"": ""fuzzy"", ""score"": 0.9629629629629629}]","[{""group"": ""opened"", ""phrase"": ""opening in me"", ""window"": ""opening in me."", ""score"": 0.963}, {""group"": ""opened"", ""phrase"": ""an opening opened"", ""window"": ""an opening in"", ""score"": 0.8}, {""group"": ""opened"", ""phrase"": ""something opened"", ""window"": ""something an"", ""score"": 0.7857}]"
They betrayed me and I can't trust them anymore.,anchoring_signal,archetypal,[],"[{""group"": ""felt_seen"", ""phrase"": ""they see me"", ""window"": ""They betrayed me"", ""score"": 0.6667}, {""group"": ""legacy_marker"", ""phrase"": ""this changed me"", ""window"": ""They betrayed me"", ""score"": 0.5161}, {""group"": ""containment"", ""phrase"": ""i want to remember"", ""window"": ""I can't trust them"", ""score"": 0.5}]"
they betrayed me and i can't trust them anymore.,initiatory_signal,initiatory,"[{""category"": ""synonym_group"", ""pattern"": ""they see me"", ""match_type"": ""fuzzy"", ""score"": 0.7407407407407407}]","[{""group"": ""felt_seen"", ""phrase"": ""they see me"", ""window"": ""they betrayed me"", ""score"": 0.7407}, {""group"": ""legacy_marker"", ""phrase"": ""this changed me"", ""window"": ""they betrayed me"", ""score"": 0.5806}, {""group"": ""containment"", ""phrase"": ""i want to remember"", ""window"": ""i can't trust them"", ""score"": 0.5556}]"
they backstabbed me and i can't trust them anymore.,anchoring_signal,archetypal,[],"[{""group"": ""felt_seen"", ""phrase"": ""they see me"", ""window"": ""they backstabbed me"", ""score"": 0.6667}, {""group"": ""containment"", ""phrase"": ""i want to remember"", ""window"": ""i can't trust them"", ""score"": 0.5556}, {""group"": ""legacy_marker"", ""phrase"": ""this changed me"", ""window"": ""they backstabbed me"", ""score"": 0.5294}]"
they let down me and i can't trust them anymore.,anchoring_signal,archetypal,[],"[{""group"": ""felt_seen"", ""phrase"": ""they see me"", ""window"": ""they let down"", ""score"": 0.5833}, {""group"": ""legacy_marker"", ""phrase"": ""this left a mark"", ""window"": ""they let down me"", ""score"": 0.5625}, {""group"": ""containment"", ""phrase"": ""i want to remember"", ""window"": ""i can't trust them"", ""score"": 0.5556}]"
I'm terrified of failing the test tomorrow.,anchoring_signal,archetypal,[],[]
I feel joy and gratitude all at once.,anchoring_signal,archetypal,[],"[{""group"": ""voltage"", ""phrase"": ""i feel flooded"", ""window"": ""I feel joy"", ""score"": 0.5833}, {""group"": ""felt_seen"", ""phrase"": ""i feel seen"", ""window"": ""I feel joy"", ""score"": 0.5714}, {""group"": ""felt_seen"", ""phrase"": ""i feel drowning"", ""window"": ""I feel joy"", ""score"": 0.56}]"
i feel joy and gratitude all at once.,anchoring_signal,archetypal,[],"[{""group"": ""felt_seen"", ""phrase"": ""i feel seen"", ""window"": ""i feel joy"", ""score"": 0.6667}, {""group"": ""voltage"", ""phrase"": ""i feel flooded"", ""window"": ""i feel joy"", ""score"": 0.6667}, {""group"": ""felt_seen"", ""phrase"": ""i feel drowning"", ""window"": ""i feel joy"", ""score"": 0.64}]"
i feel delight and gratitude all at once.,anchoring_signal,archetypal,[],"[{""group"": ""felt_seen"", ""phrase"": ""i feel drowning"", ""window"": ""i feel delight"", ""score"": 0.6897}, {""group"": ""voltage"", ""phrase"": ""i feel electric"", ""window"": ""i feel delight"", ""score"": 0.6897}, {""group"": ""felt_seen"", ""phrase"": ""i feel underwater"", ""window"": ""i feel delight"", ""score"": 0.6452}]"
i feel bliss and gratitude all at once.,anchoring_signal,archetypal,[],"[{""group"": ""felt_seen"", ""phrase"": ""i feel seen"", ""window"": ""i feel bliss"", ""score"": 0.6957}, {""group"": ""voltage"", ""phrase"": ""i feel electric"", ""window"": ""i feel bliss"", ""score"": 0.6667}, {""group"": ""felt_seen"", ""phrase"": ""i feel swamped"", ""window"": ""i feel bliss"", ""score"": 0.6154}]"
i feel joy and grateful all at once.,anchoring_signal,archetypal,[],"[{""group"": ""felt_seen"", ""phrase"": ""i feel seen"", ""window"": ""i feel joy"", ""score"": 0.6667}, {""group"": ""voltage"", ""phrase"": ""i feel flooded"", ""window"": ""i feel joy"", ""score"": 0.6667}, {""group"": ""felt_seen"", ""phrase"": ""i feel drowning"", ""window"": ""i feel joy"", ""score"": 0.64}]"
i feel joy and thankful all at once.,anchoring_signal,archetypal,[],"[{""group"": ""felt_seen"", ""phrase"": ""i feel seen"", ""window"": ""i feel joy"", ""score"": 0.6667}, {""group"": ""voltage"", ""phrase"": ""i feel flooded"", ""window"": ""i feel joy"", ""score"": 0.6667}, {""group"": ""felt_seen"", ""phrase"": ""i feel drowning"", ""window"": ""i feel joy"", ""score"": 0.64}]"
i feel joy and so grateful all at once.,anchoring_signal,archetypal,[],"[{""group"": ""felt_seen"", ""phrase"": ""i feel seen"", ""window"": ""i feel joy"", ""score"": 0.6667}, {""group"": ""voltage"", ""phrase"": ""i feel flooded"", ""window"": ""i feel joy"", ""score"": 0.6667}, {""group"": ""felt_seen"", ""phrase"": ""i feel drowning"", ""window"": ""i feel joy"", ""score"": 0.64}]"
It's a turning point; this feels important.,legacy_marker,archetypal,"[{""category"": ""legacy"", ""pattern"": ""\\bimportant\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""legacy"", ""pattern"": ""\\bturning point\\b"", ""match_type"": ""regex"", ""score"": 1.0}]","[{""group"": ""containment"", ""phrase"": ""this feels precious"", ""window"": ""this feels important."", ""score"": 0.65}, {""group"": ""containment"", ""phrase"": ""keep this safe"", ""window"": ""point; this feels"", ""score"": 0.5806}, {""group"": ""voltage"", ""phrase"": ""i'm surging with feeling"", ""window"": ""turning point; this feels"", ""score"": 0.5714}]"
"I feel so seen by them, like they really understand me.",initiatory_signal,initiatory,"[{""category"": ""synonym_group"", ""pattern"": ""i feel seen by"", ""match_type"": ""fuzzy"", ""score"": 0.8275862068965517}]","[{""group"": ""felt_seen"", ""phrase"": ""i feel seen by"", ""window"": ""feel so seen by"", ""score"": 0.8276}, {""group"": ""felt_seen"", ""phrase"": ""i feel seen"", ""window"": ""feel so seen"", ""score"": 0.7826}, {""group"": ""felt_seen"", ""phrase"": ""i feel seen by"", ""window"": ""I feel so seen"", ""score"": 0.7143}]"
My heart is racing and I'm so excited about this new person.,voltage_surge,initiatory,"[{""category"": ""voltage"", ""pattern"": ""\\bheart (is )?racing\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""voltage"", ""pattern"": ""\\bso excited\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""voltage"", ""pattern"": ""\\bmy heart is racing\\b"", ""match_type"": ""regex"", ""score"": 1.0}]","[{""group"": ""legacy_marker"", ""phrase"": ""this changed me"", ""window"": ""this new person."", ""score"": 0.5806}, {""group"": ""containment"", ""phrase"": ""this feels precious"", ""window"": ""this new person."", ""score"": 0.5714}, {""group"": ""new_connection"", ""phrase"": ""first conversation"", ""window"": ""is racing"", ""score"": 0.5185}]"
my heart is racing and i'm so excited about this new person.,voltage_surge,initiatory,"[{""category"": ""voltage"", ""pattern"": ""\\bheart (is )?racing\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""voltage"", ""pattern"": ""\\bso excited\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""voltage"", ""pattern"": ""\\bmy heart is racing\\b"", ""match_type"": ""regex"", ""score"": 1.0}]","[{""group"": ""legacy_marker"", ""phrase"": ""this changed me"", ""window"": ""this new person."", ""score"": 0.5806}, {""group"": ""voltage"", ""phrase"": ""i'm overwhelmed and excited"", ""window"": ""and i'm so excited"", ""score"": 0.5778}, {""group"": ""containment"", ""phrase"": ""this feels precious"", ""window"": ""this new person."", ""score"": 0.5714}]"
my heart is racing and i'm so thrilled about this new person.,voltage_surge,initiatory,"[{""category"": ""voltage"", ""pattern"": ""\\bheart (is )?racing\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""voltage"", ""pattern"": ""\\bmy heart is racing\\b"", ""match_type"": ""regex"", ""score"": 1.0}]","[{""group"": ""legacy_marker"", ""phrase"": ""this changed me"", ""window"": ""this new person."", ""score"": 0.5806}, {""group"": ""containment"", ""phrase"": ""this feels precious"", ""window"": ""this new person."", ""score"": 0.5714}, {""group"": ""new_connection"", ""phrase"": ""first conversation"", ""window"": ""is racing"", ""score"": 0.5185}]"
my heart is racing and i'm so electrified about this new person.,voltage_surge,initiatory,"[{""category"": ""voltage"", ""pattern"": ""\\bheart (is )?racing\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""voltage"", ""pattern"": ""\\bmy heart is racing\\b"", ""match_type"": ""regex"", ""score"": 1.0}]","[{""group"": ""voltage"", ""phrase"": ""i feel electric"", ""window"": ""i'm so electrified"", ""score"": 0.6061}, {""group"": ""legacy_marker"", ""phrase"": ""this changed me"", ""window"": ""this new person."", ""score"": 0.5806}, {""group"": ""containment"", ""phrase"": ""this feels precious"", ""window"": ""this new person."", ""score"": 0.5714}]"
I've been working through my feelings for a long time.,anchoring_signal,archetypal,"[{""category"": ""anchoring"", ""pattern"": ""\\bworking through\\b"", ""match_type"": ""regex"", ""score"": 1.0}]","[{""group"": ""voltage"", ""phrase"": ""i'm surging with feeling"", ""window"": ""working through my feelings"", ""score"": 0.5882}, {""group"": ""opened"", ""phrase"": ""opening in me"", ""window"": ""a long time."", ""score"": 0.56}, {""group"": ""felt_seen"", ""phrase"": ""felt seen"", ""window"": ""I've been"", ""score"": 0.5556}]"
I want to slow this down and savor it.,containment_request,archetypal,"[{""category"": ""containment"", ""pattern"": ""\\bslow this down\\b"", ""match_type"": ""regex"", ""score"": 1.0}]","[{""group"": ""containment"", ""phrase"": ""i need to save this moment"", ""window"": ""I want to slow this down"", ""score"": 0.6}, {""group"": ""legacy_marker"", ""phrase"": ""this left a mark"", ""window"": ""this down and savor"", ""score"": 0.5714}, {""group"": ""legacy_marker"", ""phrase"": ""this changed me"", ""window"": ""this down and"", ""score"": 0.5714}]"
Help me hold this with gentleness.,containment_request,archetypal,"[{""category"": ""containment"", ""pattern"": ""\\bhelp me hold\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""containment"", ""pattern"": ""\\bhelp me hold this\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""containment"", ""pattern"": ""\\bhold this\\b"", ""match_type"": ""regex"", ""score"": 1.0}]","[{""group"": ""containment"", ""phrase"": ""can you help me hold this"", ""window"": ""Help me hold this with gentleness."", ""score"": 0.5424}, {""group"": ""felt_seen"", ""phrase"": ""felt seen"", ""window"": ""Help me"", ""score"": 0.5}, {""group"": ""legacy_marker"", ""phrase"": ""this changed me"", ""window"": ""this with gentleness."", ""score"": 0.5}]"
I met someone new yesterday and it was unexpected.,initiatory_signal,initiatory,"[{""category"": ""initiatory"", ""pattern"": ""\\bI met someone\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""synonym_group"", ""pattern"": ""met someone new"", ""match_type"": ""fuzzy"", ""score"": 1.0}]","[{""group"": ""new_connection"", ""phrase"": ""met someone new"", ""window"": ""met someone new"", ""score"": 1.0}, {""group"": ""new_connection"", ""phrase"": ""just met someone"", ""window"": ""I met someone"", ""score"": 0.8276}, {""group"": ""new_connection"", ""phrase"": ""met someone new"", ""window"": ""I met someone"", ""score"": 0.7857}]"
i met someone new yesterday and it was unexpected.,initiatory_signal,initiatory,"[{""category"": ""initiatory"", ""pattern"": ""\\bI met someone\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""synonym_group"", ""pattern"": ""met someone new"", ""match_type"": ""fuzzy"", ""score"": 1.0}]","[{""group"": ""new_connection"", ""phrase"": ""met someone new"", ""window"": ""met someone new"", ""score"": 1.0}, {""group"": ""new_connection"", ""phrase"": ""just met someone"", ""window"": ""i met someone"", ""score"": 0.8276}, {""group"": ""new_connection"", ""phrase"": ""met someone new"", ""window"": ""i met someone"", ""score"": 0.7857}]"
i met a new person new yesterday and it was unexpected.,anchoring_signal,archetypal,[],"[{""group"": ""new_connection"", ""phrase"": ""met someone new"", ""window"": ""met a new"", ""score"": 0.6667}, {""group"": ""legacy_marker"", ""phrase"": ""this left a mark"", ""window"": ""i met a new"", ""score"": 0.5185}, {""group"": ""new_connection"", ""phrase"": ""new connection"", ""window"": ""new person"", ""score"": 0.5}]"
i met someone new new yesterday and it was unexpected.,initiatory_signal,initiatory,"[{""category"": ""initiatory"", ""pattern"": ""\\bI met someone\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""synonym_group"", ""pattern"": ""met someone new"", ""match_type"": ""fuzzy"", ""score"": 1.0}]","[{""group"": ""new_connection"", ""phrase"": ""met someone new"", ""window"": ""met someone new"", ""score"": 1.0}, {""group"": ""new_connection"", ""phrase"": ""just met someone"", ""window"": ""i met someone"", ""score"": 0.8276}, {""group"": ""new_connection"", ""phrase"": ""met someone new"", ""window"": ""i met someone"", ""score"": 0.7857}]"
