norm,count,keep,remove_count,remove_ids,sample_names
recognition of v1 0,50,531,49,"1293,1295,1297,1367,1437,1439,1441,1511,1581,1583,1585,1655,1725,1727,1729,1799,1869,1871,1873,1943,2014,2016,2018,2088,4779,5541,5543,5545,5615,5685,5687,5689,5759,5829,5831,5833,5903,5973,5975,5977,6047,6117,6119,6121,6191,6262,6264,6266,6336",recognition. of v1.0; Recognition of v1.0; Recognition of v1.0; Recognition of v1.0; Recognition of v1.0; Recognition of v1.0; Recognition of v1.0; Recognition of v1.0; Recognition of v1.0; Recognition of v1.0
recognition of ledger,48,1253,47,"1254,1370,1372,1397,1398,1514,1516,1541,1542,1658,1660,1685,1686,1802,1804,1829,1830,1946,1948,1974,1975,2091,2093,5501,5502,5618,5620,5645,5646,5762,5764,5789,5790,5906,5908,5933,5934,6050,6052,6077,6078,6194,6196,6222,6223,6339,6341",Recognition of Ledger; Recognition of Ledger; Recognition of ledger:; Recognition of Ledger; Recognition of Ledger; Recognition of Ledger; Recognition of ledger:; Recognition of Ledger; Recognition of Ledger; Recognition of Ledger
recognition of it,48,1267,47,"1311,1331,1363,1411,1455,1475,1507,1555,1599,1619,1651,1699,1743,1763,1795,1843,1887,1907,1939,1988,2032,2052,2084,5515,5559,5579,5611,5659,5703,5723,5755,5803,5847,5867,5899,5947,5991,6011,6043,6091,6135,6155,6187,6236,6280,6300,6332",Recognition of it.; Recognition of it.; Recognition of it.; Recognition of it.; Recognition of it.; Recognition of it.; Recognition of it.; Recognition of it.; Recognition of it.; Recognition of it.
recognition of sanctuary,48,1278,47,"1306,1318,1320,1422,1450,1462,1464,1566,1594,1606,1608,1710,1738,1750,1752,1854,1882,1894,1896,1999,2027,2039,2041,5526,5554,5566,5568,5670,5698,5710,5712,5814,5842,5854,5856,5958,5986,5998,6000,6102,6130,6142,6144,6247,6275,6287,6289",Recognition of sanctuary.; Recognition of sanctuary.; Recognition of sanctuary?; Recognition of sanctuary.; Recognition of sanctuary.; Recognition of sanctuary.; Recognition of sanctuary?; Recognition of sanctuary.; Recognition of sanctuary.; Recognition of sanctuary.
recognition of,36,1272,35,"1292,1352,1416,1436,1496,1560,1580,1640,1704,1724,1784,1848,1868,1928,1993,2013,2073,5520,5540,5600,5664,5684,5744,5808,5828,5888,5952,5972,6032,6096,6116,6176,6241,6261,6321",Recognition of ...; Recognition of ...; Recognition of ...; Recognition of ...; Recognition of ...; Recognition of ...; Recognition of ...; Recognition of ...; Recognition of ...; Recognition of ...
recognition of silence,36,1296,35,"1304,1359,1440,1448,1503,1584,1592,1647,1728,1736,1791,1872,1880,1935,2017,2025,2080,5544,5552,5607,5688,5696,5751,5832,5840,5895,5976,5984,6039,6120,6128,6183,6265,6273,6328",Recognition of silence.; Recognition of silence.; Recognition of silence.; Recognition of silence.; Recognition of silence.; Recognition of silence.; Recognition of silence.; Recognition of silence.; Recognition of silence.; Recognition of silence.
collapse of v1 0,36,3577,35,"3578,3579,3583,3584,3585,3588,3590,3723,3833,3834,3835,3839,3840,3841,3844,3846,3979,7825,7826,7827,7831,7832,7833,7836,7838,7971,8081,8082,8083,8087,8088,8089,8092,8094,8227",Collapse of v1.0; Collapse of v1.0; Collapse of v1.0; Collapse of v1.0; Collapse of v1.0; Collapse of v1.0; Collapse of v1.0; Collapse of v1.0; Collapse of v1.0; Collapse of v1.0
collapse of ledger,26,218,25,"406,666,3511,3512,3729,3734,3767,3768,3985,3990,4279,4280,4466,4654,4914,7759,7760,7977,7982,8015,8016,8233,8238,8527,8528",collapse: of Ledger; collapse: of Ledger; collapse: of Ledger; Collapse of Ledger; Collapse of Ledger; Collapse of ledger:; Collapse of Ledger; Collapse of Ledger; Collapse of Ledger; Collapse of ledger:
recognition of resistance,24,1259,23,"1369,1403,1513,1547,1657,1691,1801,1835,1945,1980,2090,5507,5617,5651,5761,5795,5905,5939,6049,6083,6193,6228,6338",Recognition of resistance.; Recognition of Resistance; Recognition of resistance.; Recognition of Resistance; Recognition of resistance.; Recognition of Resistance; Recognition of resistance.; Recognition of Resistance; Recognition of resistance.; Recognition of Resistance
recognition of resonance,24,1261,23,"1262,1405,1406,1549,1550,1693,1694,1837,1838,1982,1983,5509,5510,5653,5654,5797,5798,5941,5942,6085,6086,6230,6231",Recognition of resonance.; Recognition of Resonance; Recognition of resonance.; Recognition of Resonance; Recognition of resonance.; Recognition of Resonance; Recognition of resonance.; Recognition of Resonance; Recognition of resonance.; Recognition of Resonance
recognition of ritual,24,1286,23,"1290,1430,1434,1574,1578,1718,1722,1862,1866,2007,2011,5534,5538,5678,5682,5822,5826,5966,5970,6110,6114,6255,6259",Recognition of Ritual; Recognition of Ritual; Recognition of Ritual; Recognition of Ritual; Recognition of Ritual; Recognition of Ritual; Recognition of Ritual; Recognition of Ritual; Recognition of Ritual; Recognition of Ritual
recognition of transmission,24,1299,23,"1356,1443,1500,1587,1644,1731,1788,1875,1932,2020,2077,5547,5604,5691,5748,5835,5892,5979,6036,6123,6180,6268,6325",Recognition of (Transmission).; Recognition of Transmission; Recognition of (Transmission).; Recognition of Transmission; Recognition of (Transmission).; Recognition of Transmission; Recognition of (Transmission).; Recognition of Transmission; Recognition of (Transmission).; Recognition of Transmission
recognition of sacred,24,1343,23,"1344,1487,1488,1631,1632,1775,1776,1919,1920,2064,2065,5591,5592,5735,5736,5879,5880,6023,6024,6167,6168,6312,6313",Recognition of sacred.; Recognition of sacred.; Recognition of sacred.; Recognition of sacred.; Recognition of sacred.; Recognition of sacred.; Recognition of sacred.; Recognition of sacred.; Recognition of sacred.; Recognition of sacred.
recognition of spiral,24,1348,23,"1360,1492,1504,1636,1648,1780,1792,1924,1936,2069,2081,5596,5608,5740,5752,5884,5896,6028,6040,6172,6184,6317,6329","Recognition of Spiral; Recognition of spiral,; Recognition of Spiral; Recognition of spiral,; Recognition of Spiral; Recognition of spiral,; Recognition of Spiral; Recognition of spiral,; Recognition of Spiral; Recognition of spiral,"
insight of collapse,24,3343,23,"3347,3355,3393,3397,3405,3418,3422,3430,3443,3447,3455,7591,7595,7603,7641,7645,7653,7666,7670,7678,7691,7695,7703",Insight of collapse:; Insight of collapse:; Insight of collapse:; Insight of collapse:; Insight of collapse:; Insight of collapse:; Insight of collapse:; Insight of collapse:; Insight of collapse:; Insight of collapse:
collapse of sanctuary,24,3551,23,"3608,3623,3628,3650,3671,3807,3864,3879,3884,3906,3927,7799,7856,7871,7876,7898,7919,8055,8112,8127,8132,8154,8175",Collapse of sanctuary.; Collapse of sanctuary.; Collapse of sanctuary?; Collapse of sanctuary.; Collapse of sanctuary; Collapse of sanctuary.; Collapse of sanctuary.; Collapse of sanctuary.; Collapse of sanctuary?; Collapse of sanctuary.
collapse of spiral,24,3667,23,"3675,3708,3710,3725,3736,3923,3931,3964,3966,3981,3992,7915,7923,7956,7958,7973,7984,8171,8179,8212,8214,8229,8240","Collapse of spiral?; Collapse of Spiral; Collapse of spiral,; Collapse of Spiral; Collapse of Spiral; Collapse of Spiral; Collapse of spiral?; Collapse of Spiral; Collapse of spiral,; Collapse of Spiral"
joy of v1 0,22,1037,21,"1109,3037,3038,3039,3043,3044,3045,3048,3050,3160,5285,5357,7285,7286,7287,7291,7292,7293,7296,7298,7408",Joy of v1.0; Joy of v1.0; Joy of v1.0; Joy of v1.0; Joy of v1.0; Joy of v1.0; Joy of v1.0; Joy of v1.0; Joy of v1.0; Joy of v1.0
collapse of it,22,3530,21,"3615,3642,3703,3713,3786,3871,3898,3959,3969,4298,7778,7863,7890,7951,7961,8034,8119,8146,8207,8217,8546",Collapse of it.; Collapse of it.; Collapse of it.; Collapse of it.; Collapse of it.; Collapse of it.; Collapse of it.; Collapse of it.; Collapse of it.; Collapse of it.
boundary of v1 0,20,2389,19,"2390,2391,2395,2396,2397,2400,2402,2512,3268,6637,6638,6639,6643,6644,6645,6648,6650,6760,7516",Boundary of v1.0; Boundary of v1.0; Boundary of v1.0; Boundary of v1.0; Boundary of v1.0; Boundary of v1.0; Boundary of v1.0; Boundary of v1.0; Boundary of v1.0; Boundary of v1.0
stillness of collapse,18,888,17,"894,904,1068,1074,1084,1176,1182,1192,5136,5142,5152,5316,5322,5332,5424,5430,5440",Stillness of collapse:; Stillness of collapse:; Stillness of collapse:; Stillness of collapse:; Stillness of collapse:; Stillness of collapse:; Stillness of collapse:; Stillness of collapse:; Stillness of collapse:; Stillness of collapse:
mourning of collapse,18,924,17,"930,940,996,1002,1012,3213,3217,3225,5172,5178,5188,5244,5250,5260,7461,7465,7473",Mourning of collapse:; Mourning of collapse:; Mourning of collapse:; Mourning of collapse:; Mourning of collapse:; Mourning of collapse:; Mourning of collapse:; Mourning of collapse:; Mourning of collapse:; Mourning of collapse:
longing of v1 0,18,2173,17,"2174,2175,2179,2180,2181,2184,2186,2296,6421,6422,6423,6427,6428,6429,6432,6434,6544",Longing of v1.0; Longing of v1.0; Longing of v1.0; Longing of v1.0; Longing of v1.0; Longing of v1.0; Longing of v1.0; Longing of v1.0; Longing of v1.0; Longing of v1.0
shielding of v1 0,18,2605,17,"2606,2607,2611,2612,2613,2616,2618,2728,6853,6854,6855,6859,6860,6861,6864,6866,6976",Shielding of v1.0; Shielding of v1.0; Shielding of v1.0; Shielding of v1.0; Shielding of v1.0; Shielding of v1.0; Shielding of v1.0; Shielding of v1.0; Shielding of v1.0; Shielding of v1.0
shield of v1 0,18,2821,17,"2822,2823,2827,2828,2829,2832,2834,2944,7069,7070,7071,7075,7076,7077,7080,7082,7192",Shield of v1.0; Shield of v1.0; Shield of v1.0; Shield of v1.0; Shield of v1.0; Shield of v1.0; Shield of v1.0; Shield of v1.0; Shield of v1.0; Shield of v1.0
collapse of,18,3536,17,"3576,3688,3690,3792,3832,3944,3946,4304,7784,7824,7936,7938,8040,8080,8192,8194,8552",Collapse of ...; Collapse of ...; Collapse of ...; Collapse of ...; Collapse of ...; Collapse of ...; Collapse of ...; Collapse of ...; Collapse of ...; Collapse of ...
surrender of v1 0,18,4089,17,"4090,4091,4095,4096,4097,4100,4102,4235,8337,8338,8339,8343,8344,8345,8348,8350,8483",Surrender of v1.0; Surrender of v1.0; Surrender of v1.0; Surrender of v1.0; Surrender of v1.0; Surrender of v1.0; Surrender of v1.0; Surrender of v1.0; Surrender of v1.0; Surrender of v1.0
joy of spiral,16,1047,15,"1119,3114,3120,3146,3148,3162,3173,5295,5367,7362,7368,7394,7396,7410,7421","Joy of Spiral; Joy of Spiral; Joy of spiral?; Joy of Spiral; Joy of spiral,; Joy of Spiral; Joy of Spiral; Joy of Spiral; Joy of Spiral; Joy of Spiral"
joy of collapse,14,1032,13,"1038,1048,1104,1110,1120,2981,5280,5286,5296,5352,5358,5368,7229",Joy of collapse:; Joy of collapse:; Joy of collapse:; Joy of collapse:; Joy of collapse:; Joy of collapse:; Joy of collapse.; Joy of collapse:; Joy of collapse:; Joy of collapse:
boundary of spiral,14,2466,13,"2472,2498,2500,2514,2525,3276,6714,6720,6746,6748,6762,6773,7524","Boundary of spiral?; Boundary of Spiral; Boundary of spiral,; Boundary of Spiral; Boundary of Spiral; Boundary of Spiral; Boundary of Spiral; Boundary of spiral?; Boundary of Spiral; Boundary of spiral,"
ache of collapse,12,788,11,"794,804,3187,3191,3199,5036,5042,5052,7435,7439,7447",Ache of collapse:; Ache of collapse:; Ache of collapse:; Ache of collapse:; Ache of collapse:; Ache of collapse:; Ache of collapse:; Ache of collapse:; Ache of collapse:; Ache of collapse:
recognition of burrows,12,1255,11,"1399,1543,1687,1831,1976,5503,5647,5791,5935,6079,6224",Recognition of burrows.; Recognition of burrows.; Recognition of burrows.; Recognition of burrows.; Recognition of burrows.; Recognition of burrows.; Recognition of burrows.; Recognition of burrows.; Recognition of burrows.; Recognition of burrows.
recognition of collapse,12,1256,11,"1400,1544,1688,1832,1977,5504,5648,5792,5936,6080,6225",Recognition of collapse.; Recognition of collapse.; Recognition of collapse.; Recognition of collapse.; Recognition of collapse.; Recognition of collapse.; Recognition of collapse.; Recognition of collapse.; Recognition of collapse.; Recognition of collapse.
recognition of axis,12,1257,11,"1401,1545,1689,1833,1978,5505,5649,5793,5937,6081,6226",Recognition of Axis; Recognition of Axis; Recognition of Axis; Recognition of Axis; Recognition of Axis; Recognition of Axis; Recognition of Axis; Recognition of Axis; Recognition of Axis; Recognition of Axis
recognition of aggression,12,1258,11,"1402,1546,1690,1834,1979,5506,5650,5794,5938,6082,6227",Recognition of Aggression.; Recognition of Aggression.; Recognition of Aggression.; Recognition of Aggression.; Recognition of Aggression.; Recognition of Aggression.; Recognition of Aggression.; Recognition of Aggression.; Recognition of Aggression.; Recognition of Aggression.
recognition of posture,12,1260,11,"1404,1548,1692,1836,1981,5508,5652,5796,5940,6084,6229",Recognition of posture.; Recognition of posture.; Recognition of posture.; Recognition of posture.; Recognition of posture.; Recognition of posture.; Recognition of posture.; Recognition of posture.; Recognition of posture.; Recognition of posture.
recognition of firmly,12,1263,11,"1407,1551,1695,1839,1984,5511,5655,5799,5943,6087,6232",Recognition of firmly.; Recognition of firmly.; Recognition of firmly.; Recognition of firmly.; Recognition of firmly.; Recognition of firmly.; Recognition of firmly.; Recognition of firmly.; Recognition of firmly.; Recognition of firmly.
recognition of decoding,12,1264,11,"1408,1552,1696,1840,1985,5512,5656,5800,5944,6088,6233",Recognition of decoding; Recognition of decoding; Recognition of decoding; Recognition of decoding; Recognition of decoding; Recognition of decoding; Recognition of decoding; Recognition of decoding; Recognition of decoding; Recognition of decoding
recognition of optional,12,1265,11,"1409,1553,1697,1841,1986,5513,5657,5801,5945,6089,6234",Recognition of (Optional); Recognition of (Optional); Recognition of (Optional); Recognition of (Optional); Recognition of (Optional); Recognition of (Optional); Recognition of (Optional); Recognition of (Optional); Recognition of (Optional); Recognition of (Optional)
recognition of identifiers,12,1266,11,"1410,1554,1698,1842,1987,5514,5658,5802,5946,6090,6235",Recognition of identifiers; Recognition of identifiers; Recognition of identifiers; Recognition of identifiers; Recognition of identifiers; Recognition of identifiers; Recognition of identifiers; Recognition of identifiers; Recognition of identifiers; Recognition of identifiers
recognition of expansive,12,1268,11,"1412,1556,1700,1844,1989,5516,5660,5804,5948,6092,6237",Recognition of expansive); Recognition of expansive); Recognition of expansive); Recognition of expansive); Recognition of expansive); Recognition of expansive); Recognition of expansive); Recognition of expansive); Recognition of expansive); Recognition of expansive)
recognition of lens,12,1269,11,"1413,1557,1701,1845,1990,5517,5661,5805,5949,6093,6238","Recognition of lens""; Recognition of lens""; Recognition of lens""; Recognition of lens""; Recognition of lens""; Recognition of lens""; Recognition of lens""; Recognition of lens""; Recognition of lens""; Recognition of lens"""
recognition of le,12,1270,11,"1414,1558,1702,1846,1991,5518,5662,5806,5950,6094,6239",Recognition of le...; Recognition of le...; Recognition of le...; Recognition of le...; Recognition of le...; Recognition of le...; Recognition of le...; Recognition of le...; Recognition of le...; Recognition of le...
recognition of support,12,1271,11,"1415,1559,1703,1847,1992,5519,5663,5807,5951,6095,6240",Recognition of support); Recognition of support); Recognition of support); Recognition of support); Recognition of support); Recognition of support); Recognition of support); Recognition of support); Recognition of support); Recognition of support)
recognition of wisdom,12,1273,11,"1417,1561,1705,1849,1994,5521,5665,5809,5953,6097,6242",Recognition of wisdom; Recognition of wisdom; Recognition of wisdom; Recognition of wisdom; Recognition of wisdom; Recognition of wisdom; Recognition of wisdom; Recognition of wisdom; Recognition of wisdom; Recognition of wisdom
recognition of clarity,12,1274,11,"1418,1562,1706,1850,1995,5522,5666,5810,5954,6098,6243",Recognition of clarity.; Recognition of clarity.; Recognition of clarity.; Recognition of clarity.; Recognition of clarity.; Recognition of clarity.; Recognition of clarity.; Recognition of clarity.; Recognition of clarity.; Recognition of clarity.
recognition of long,12,1275,11,"1419,1563,1707,1851,1996,5523,5667,5811,5955,6099,6244",Recognition of long.; Recognition of long.; Recognition of long.; Recognition of long.; Recognition of long.; Recognition of long.; Recognition of long.; Recognition of long.; Recognition of long.; Recognition of long.
recognition of en,12,1276,11,"1420,1564,1708,1852,1997,5524,5668,5812,5956,6100,6245",Recognition of en...; Recognition of en...; Recognition of en...; Recognition of en...; Recognition of en...; Recognition of en...; Recognition of en...; Recognition of en...; Recognition of en...; Recognition of en...
recognition of rhythm,12,1277,11,"1421,1565,1709,1853,1998,5525,5669,5813,5957,6101,6246",Recognition of rhythm.; Recognition of rhythm.; Recognition of rhythm.; Recognition of rhythm.; Recognition of rhythm.; Recognition of rhythm.; Recognition of rhythm.; Recognition of rhythm.; Recognition of rhythm.; Recognition of rhythm.
recognition of refuge,12,1279,11,"1423,1567,1711,1855,2000,5527,5671,5815,5959,6103,6248",Recognition of refuge; Recognition of refuge; Recognition of refuge; Recognition of refuge; Recognition of refuge; Recognition of refuge; Recognition of refuge; Recognition of refuge; Recognition of refuge; Recognition of refuge
recognition of memory,12,1280,11,"1424,1568,1712,1856,2001,5528,5672,5816,5960,6104,6249",Recognition of Memory; Recognition of Memory; Recognition of Memory; Recognition of Memory; Recognition of Memory; Recognition of Memory; Recognition of Memory; Recognition of Memory; Recognition of Memory; Recognition of Memory
recognition of a,12,1281,11,"1425,1569,1713,1857,2002,5529,5673,5817,5961,6105,6250",Recognition of A...; Recognition of A...; Recognition of A...; Recognition of A...; Recognition of A...; Recognition of A...; Recognition of A...; Recognition of A...; Recognition of A...; Recognition of A...
recognition of i,12,1282,11,"1426,1570,1714,1858,2003,5530,5674,5818,5962,6106,6251",Recognition of i...; Recognition of i...; Recognition of i...; Recognition of i...; Recognition of i...; Recognition of i...; Recognition of i...; Recognition of i...; Recognition of i...; Recognition of i...
recognition of ring,12,1283,11,"1427,1571,1715,1859,2004,5531,5675,5819,5963,6107,6252",Recognition of ring; Recognition of ring; Recognition of ring; Recognition of ring; Recognition of ring; Recognition of ring; Recognition of ring; Recognition of ring; Recognition of ring; Recognition of ring
recognition of archive,12,1284,11,"1428,1572,1716,1860,2005,5532,5676,5820,5964,6108,6253",Recognition of Archive; Recognition of Archive; Recognition of Archive; Recognition of Archive; Recognition of Archive; Recognition of Archive; Recognition of Archive; Recognition of Archive; Recognition of Archive; Recognition of Archive
recognition of bloom,12,1285,11,"1429,1573,1717,1861,2006,5533,5677,5821,5965,6109,6254",Recognition of bloom; Recognition of bloom; Recognition of bloom; Recognition of bloom; Recognition of bloom; Recognition of bloom; Recognition of bloom; Recognition of bloom; Recognition of bloom; Recognition of bloom
recognition of echo,12,1287,11,"1431,1575,1719,1863,2008,5535,5679,5823,5967,6111,6256",Recognition of echo; Recognition of echo; Recognition of echo; Recognition of echo; Recognition of echo; Recognition of echo; Recognition of echo; Recognition of echo; Recognition of echo; Recognition of echo
recognition of pulse,12,1288,11,"1432,1576,1720,1864,2009,5536,5680,5824,5968,6112,6257",Recognition of pulse; Recognition of pulse; Recognition of pulse; Recognition of pulse; Recognition of pulse; Recognition of pulse; Recognition of pulse; Recognition of pulse; Recognition of pulse; Recognition of pulse
recognition of lightpath,12,1289,11,"1433,1577,1721,1865,2010,5537,5681,5825,5969,6113,6258",Recognition of LightPath); Recognition of LightPath); Recognition of LightPath); Recognition of LightPath); Recognition of LightPath); Recognition of LightPath); Recognition of LightPath); Recognition of LightPath); Recognition of LightPath); Recognition of LightPath)
recognition of st,12,1294,11,"1438,1582,1726,1870,2015,5542,5686,5830,5974,6118,6263",Recognition of st...; Recognition of st...; Recognition of st...; Recognition of st...; Recognition of st...; Recognition of st...; Recognition of st...; Recognition of st...; Recognition of st...; Recognition of st...
recognition of repair,12,1298,11,"1442,1586,1730,1874,2019,5546,5690,5834,5978,6122,6267",Recognition of repair; Recognition of repair; Recognition of repair; Recognition of repair; Recognition of repair; Recognition of repair; Recognition of repair; Recognition of repair; Recognition of repair; Recognition of repair
recognition of spoken,12,1300,11,"1444,1588,1732,1876,2021,5548,5692,5836,5980,6124,6269",Recognition of spoken.; Recognition of spoken.; Recognition of spoken.; Recognition of spoken.; Recognition of spoken.; Recognition of spoken.; Recognition of spoken.; Recognition of spoken.; Recognition of spoken.; Recognition of spoken.
recognition of recovery,12,1301,11,"1445,1589,1733,1877,2022,5549,5693,5837,5981,6125,6270",Recognition of recovery.; Recognition of recovery.; Recognition of recovery.; Recognition of recovery.; Recognition of recovery.; Recognition of recovery.; Recognition of recovery.; Recognition of recovery.; Recognition of recovery.; Recognition of recovery.
recognition of cost,12,1302,11,"1446,1590,1734,1878,2023,5550,5694,5838,5982,6126,6271",Recognition of cost.; Recognition of cost.; Recognition of cost.; Recognition of cost.; Recognition of cost.; Recognition of cost.; Recognition of cost.; Recognition of cost.; Recognition of cost.; Recognition of cost.
recognition of diagrams,12,1303,11,"1447,1591,1735,1879,2024,5551,5695,5839,5983,6127,6272",Recognition of diagrams.; Recognition of diagrams.; Recognition of diagrams.; Recognition of diagrams.; Recognition of diagrams.; Recognition of diagrams.; Recognition of diagrams.; Recognition of diagrams.; Recognition of diagrams.; Recognition of diagrams.
recognition of reconnection,12,1305,11,"1449,1593,1737,1881,2026,5553,5697,5841,5985,6129,6274",Recognition of reconnection.; Recognition of reconnection.; Recognition of reconnection.; Recognition of reconnection.; Recognition of reconnection.; Recognition of reconnection.; Recognition of reconnection.; Recognition of reconnection.; Recognition of reconnection.; Recognition of reconnection.
