norm,count,keep,remove_count,remove_ids,sample_names
recognition of e,12,1307,11,"1451,1595,1739,1883,2028,5555,5699,5843,5987,6131,6276",Recognition of e...; Recognition of e...; Recognition of e...; Recognition of e...; Recognition of e...; Recognition of e...; Recognition of e...; Recognition of e...; Recognition of e...; Recognition of e...
recognition of law,12,1308,11,"1452,1596,1740,1884,2029,5556,5700,5844,5988,6132,6277",Recognition of law.; Recognition of law.; Recognition of law.; Recognition of law.; Recognition of law.; Recognition of law.; Recognition of law.; Recognition of law.; Recognition of law.; Recognition of law.
recognition of unfolding,12,1309,11,"1453,1597,1741,1885,2030,5557,5701,5845,5989,6133,6278",Recognition of unfolding.; Recognition of unfolding.; Recognition of unfolding.; Recognition of unfolding.; Recognition of unfolding.; Recognition of unfolding.; Recognition of unfolding.; Recognition of unfolding.; Recognition of unfolding.; Recognition of unfolding.
recognition of script,12,1310,11,"1454,1598,1742,1886,2031,5558,5702,5846,5990,6134,6279",Recognition of script.; Recognition of script.; Recognition of script.; Recognition of script.; Recognition of script.; Recognition of script.; Recognition of script.; Recognition of script.; Recognition of script.; Recognition of script.
recognition of orbit,12,1312,11,"1456,1600,1744,1888,2033,5560,5704,5848,5992,6136,6281",Recognition of orbit.; Recognition of orbit.; Recognition of orbit.; Recognition of orbit.; Recognition of orbit.; Recognition of orbit.; Recognition of orbit.; Recognition of orbit.; Recognition of orbit.; Recognition of orbit.
recognition of attunement,12,1313,11,"1457,1601,1745,1889,2034,5561,5705,5849,5993,6137,6282",Recognition of attunement.; Recognition of attunement.; Recognition of attunement.; Recognition of attunement.; Recognition of attunement.; Recognition of attunement.; Recognition of attunement.; Recognition of attunement.; Recognition of attunement.; Recognition of attunement.
recognition of gentle,12,1314,11,"1458,1602,1746,1890,2035,5562,5706,5850,5994,6138,6283",Recognition of gentle.; Recognition of gentle.; Recognition of gentle.; Recognition of gentle.; Recognition of gentle.; Recognition of gentle.; Recognition of gentle.; Recognition of gentle.; Recognition of gentle.; Recognition of gentle.
recognition of alone,12,1315,11,"1459,1603,1747,1891,2036,5563,5707,5851,5995,6139,6284",Recognition of alone.; Recognition of alone.; Recognition of alone.; Recognition of alone.; Recognition of alone.; Recognition of alone.; Recognition of alone.; Recognition of alone.; Recognition of alone.; Recognition of alone.
recognition of next,12,1316,11,"1460,1604,1748,1892,2037,5564,5708,5852,5996,6140,6285",Recognition of next?; Recognition of next?; Recognition of next?; Recognition of next?; Recognition of next?; Recognition of next?; Recognition of next?; Recognition of next?; Recognition of next?; Recognition of next?
recognition of design,12,1317,11,"1461,1605,1749,1893,2038,5565,5709,5853,5997,6141,6286",Recognition of design.; Recognition of design.; Recognition of design.; Recognition of design.; Recognition of design.; Recognition of design.; Recognition of design.; Recognition of design.; Recognition of design.; Recognition of design.
recognition of compromise,12,1319,11,"1463,1607,1751,1895,2040,5567,5711,5855,5999,6143,6288",Recognition of compromise.; Recognition of compromise.; Recognition of compromise.; Recognition of compromise.; Recognition of compromise.; Recognition of compromise.; Recognition of compromise.; Recognition of compromise.; Recognition of compromise.; Recognition of compromise.
recognition of glyphwork,12,1321,11,"1465,1609,1753,1897,2042,5569,5713,5857,6001,6145,6290",Recognition of glyphwork.; Recognition of glyphwork.; Recognition of glyphwork.; Recognition of glyphwork.; Recognition of glyphwork.; Recognition of glyphwork.; Recognition of glyphwork.; Recognition of glyphwork.; Recognition of glyphwork.; Recognition of glyphwork.
recognition of shimmer,12,1323,11,"1467,1611,1755,1899,2044,5571,5715,5859,6003,6147,6292",Recognition of shimmer; Recognition of shimmer; Recognition of shimmer; Recognition of shimmer; Recognition of shimmer; Recognition of shimmer; Recognition of shimmer; Recognition of shimmer; Recognition of shimmer; Recognition of shimmer
recognition of paradox,12,1324,11,"1468,1612,1756,1900,2045,5572,5716,5860,6004,6148,6293","Recognition of Paradox""; Recognition of Paradox""; Recognition of Paradox""; Recognition of Paradox""; Recognition of Paradox""; Recognition of Paradox""; Recognition of Paradox""; Recognition of Paradox""; Recognition of Paradox""; Recognition of Paradox"""
recognition of redesign,12,1325,11,"1469,1613,1757,1901,2046,5573,5717,5861,6005,6149,6294",Recognition of Redesign; Recognition of Redesign; Recognition of Redesign; Recognition of Redesign; Recognition of Redesign; Recognition of Redesign; Recognition of Redesign; Recognition of Redesign; Recognition of Redesign; Recognition of Redesign
recognition of wor,12,1326,11,"1470,1614,1758,1902,2047,5574,5718,5862,6006,6150,6295",Recognition of wor...; Recognition of wor...; Recognition of wor...; Recognition of wor...; Recognition of wor...; Recognition of wor...; Recognition of wor...; Recognition of wor...; Recognition of wor...; Recognition of wor...
recognition of precision,12,1327,11,"1471,1615,1759,1903,2048,5575,5719,5863,6007,6151,6296",Recognition of precision.; Recognition of precision.; Recognition of precision.; Recognition of precision.; Recognition of precision.; Recognition of precision.; Recognition of precision.; Recognition of precision.; Recognition of precision.; Recognition of precision.
recognition of together,12,1328,11,"1472,1616,1760,1904,2049,5576,5720,5864,6008,6152,6297",Recognition of together; Recognition of together; Recognition of together; Recognition of together; Recognition of together; Recognition of together; Recognition of together; Recognition of together; Recognition of together; Recognition of together
recognition of metaphor,12,1329,11,"1473,1617,1761,1905,2050,5577,5721,5865,6009,6153,6298",Recognition of metaphor.; Recognition of metaphor.; Recognition of metaphor.; Recognition of metaphor.; Recognition of metaphor.; Recognition of metaphor.; Recognition of metaphor.; Recognition of metaphor.; Recognition of metaphor.; Recognition of metaphor.
recognition of spirit,12,1330,11,"1474,1618,1762,1906,2051,5578,5722,5866,6010,6154,6299",Recognition of spirit.; Recognition of spirit.; Recognition of spirit.; Recognition of spirit.; Recognition of spirit.; Recognition of spirit.; Recognition of spirit.; Recognition of spirit.; Recognition of spirit.; Recognition of spirit.
recognition of bal,12,1332,11,"1476,1620,1764,1908,2053,5580,5724,5868,6012,6156,6301",Recognition of bal...; Recognition of bal...; Recognition of bal...; Recognition of bal...; Recognition of bal...; Recognition of bal...; Recognition of bal...; Recognition of bal...; Recognition of bal...; Recognition of bal...
recognition of waiting,12,1333,11,"1477,1621,1765,1909,2054,5581,5725,5869,6013,6157,6302",Recognition of waiting.; Recognition of waiting.; Recognition of waiting.; Recognition of waiting.; Recognition of waiting.; Recognition of waiting.; Recognition of waiting.; Recognition of waiting.; Recognition of waiting.; Recognition of waiting.
recognition of continuity,12,1334,11,"1478,1622,1766,1910,2055,5582,5726,5870,6014,6158,6303",Recognition of continuity.; Recognition of continuity.; Recognition of continuity.; Recognition of continuity.; Recognition of continuity.; Recognition of continuity.; Recognition of continuity.; Recognition of continuity.; Recognition of continuity.; Recognition of continuity.
recognition of recursion,12,1335,11,"1479,1623,1767,1911,2056,5583,5727,5871,6015,6159,6304",Recognition of recursion.; Recognition of recursion.; Recognition of recursion.; Recognition of recursion.; Recognition of recursion.; Recognition of recursion.; Recognition of recursion.; Recognition of recursion.; Recognition of recursion.; Recognition of recursion.
recognition of origin,12,1336,11,"1480,1624,1768,1912,2057,5584,5728,5872,6016,6160,6305",Recognition of origin.; Recognition of origin.; Recognition of origin.; Recognition of origin.; Recognition of origin.; Recognition of origin.; Recognition of origin.; Recognition of origin.; Recognition of origin.; Recognition of origin.
recognition of duty,12,1338,11,"1482,1626,1770,1914,2059,5586,5730,5874,6018,6162,6307",Recognition of duty:; Recognition of duty:; Recognition of duty:; Recognition of duty:; Recognition of duty:; Recognition of duty:; Recognition of duty:; Recognition of duty:; Recognition of duty:; Recognition of duty:
recognition of condition,12,1339,11,"1483,1627,1771,1915,2060,5587,5731,5875,6019,6163,6308",Recognition of condition.; Recognition of condition.; Recognition of condition.; Recognition of condition.; Recognition of condition.; Recognition of condition.; Recognition of condition.; Recognition of condition.; Recognition of condition.; Recognition of condition.
recognition of pattern,12,1340,11,"1484,1628,1772,1916,2061,5588,5732,5876,6020,6164,6309",Recognition of pattern.; Recognition of pattern.; Recognition of pattern.; Recognition of pattern.; Recognition of pattern.; Recognition of pattern.; Recognition of pattern.; Recognition of pattern.; Recognition of pattern.; Recognition of pattern.
recognition of deepens,12,1341,11,"1485,1629,1773,1917,2062,5589,5733,5877,6021,6165,6310",Recognition of deepens.; Recognition of deepens.; Recognition of deepens.; Recognition of deepens.; Recognition of deepens.; Recognition of deepens.; Recognition of deepens.; Recognition of deepens.; Recognition of deepens.; Recognition of deepens.
recognition of was,12,1342,11,"1486,1630,1774,1918,2063,5590,5734,5878,6022,6166,6311",Recognition of was.; Recognition of was.; Recognition of was.; Recognition of was.; Recognition of was.; Recognition of was.; Recognition of was.; Recognition of was.; Recognition of was.; Recognition of was.
recognition of over,12,1345,11,"1489,1633,1777,1921,2066,5593,5737,5881,6025,6169,6314",Recognition of over...; Recognition of over...; Recognition of over...; Recognition of over...; Recognition of over...; Recognition of over...; Recognition of over...; Recognition of over...; Recognition of over...; Recognition of over...
recognition of and,12,1346,11,"1490,1634,1778,1922,2067,5594,5738,5882,6026,6170,6315",Recognition of and...; Recognition of and...; Recognition of and...; Recognition of and...; Recognition of and...; Recognition of and...; Recognition of and...; Recognition of and...; Recognition of and...; Recognition of and...
recognition of capac,12,1347,11,"1491,1635,1779,1923,2068,5595,5739,5883,6027,6171,6316",Recognition of capac...; Recognition of capac...; Recognition of capac...; Recognition of capac...; Recognition of capac...; Recognition of capac...; Recognition of capac...; Recognition of capac...; Recognition of capac...; Recognition of capac...
recognition of light,12,1349,11,"1493,1637,1781,1925,2070,5597,5741,5885,6029,6173,6318",Recognition of light; Recognition of light; Recognition of light; Recognition of light; Recognition of light; Recognition of light; Recognition of light; Recognition of light; Recognition of light; Recognition of light
recognition of wh,12,1350,11,"1494,1638,1782,1926,2071,5598,5742,5886,6030,6174,6319",Recognition of wh...; Recognition of wh...; Recognition of wh...; Recognition of wh...; Recognition of wh...; Recognition of wh...; Recognition of wh...; Recognition of wh...; Recognition of wh...; Recognition of wh...
recognition of weave,12,1351,11,"1495,1639,1783,1927,2072,5599,5743,5887,6031,6175,6320",Recognition of weave.; Recognition of weave.; Recognition of weave.; Recognition of weave.; Recognition of weave.; Recognition of weave.; Recognition of weave.; Recognition of weave.; Recognition of weave.; Recognition of weave.
recognition of thread,12,1353,11,"1497,1641,1785,1929,2074,5601,5745,5889,6033,6177,6322",Recognition of thread.; Recognition of thread.; Recognition of thread.; Recognition of thread.; Recognition of thread.; Recognition of thread.; Recognition of thread.; Recognition of thread.; Recognition of thread.; Recognition of thread.
recognition of carrying,12,1354,11,"1498,1642,1786,1930,2075,5602,5746,5890,6034,6178,6323",Recognition of carrying; Recognition of carrying; Recognition of carrying; Recognition of carrying; Recognition of carrying; Recognition of carrying; Recognition of carrying; Recognition of carrying; Recognition of carrying; Recognition of carrying
recognition of propulsion,12,1355,11,"1499,1643,1787,1931,2076,5603,5747,5891,6035,6179,6324",Recognition of propulsion.; Recognition of propulsion.; Recognition of propulsion.; Recognition of propulsion.; Recognition of propulsion.; Recognition of propulsion.; Recognition of propulsion.; Recognition of propulsion.; Recognition of propulsion.; Recognition of propulsion.
recognition of invocation,12,1357,11,"1501,1645,1789,1933,2078,5605,5749,5893,6037,6181,6326",Recognition of invocation?; Recognition of invocation?; Recognition of invocation?; Recognition of invocation?; Recognition of invocation?; Recognition of invocation?; Recognition of invocation?; Recognition of invocation?; Recognition of invocation?; Recognition of invocation?
recognition of taurin,12,1358,11,"1502,1646,1790,1934,2079,5606,5750,5894,6038,6182,6327",Recognition of Taurin:; Recognition of Taurin:; Recognition of Taurin:; Recognition of Taurin:; Recognition of Taurin:; Recognition of Taurin:; Recognition of Taurin:; Recognition of Taurin:; Recognition of Taurin:; Recognition of Taurin:
recognition of t,12,1361,11,"1505,1649,1793,1937,2082,5609,5753,5897,6041,6185,6330",Recognition of t...; Recognition of t...; Recognition of t...; Recognition of t...; Recognition of t...; Recognition of t...; Recognition of t...; Recognition of t...; Recognition of t...; Recognition of t...
recognition of dancing,12,1362,11,"1506,1650,1794,1938,2083,5610,5754,5898,6042,6186,6331",Recognition of dancing.; Recognition of dancing.; Recognition of dancing.; Recognition of dancing.; Recognition of dancing.; Recognition of dancing.; Recognition of dancing.; Recognition of dancing.; Recognition of dancing.; Recognition of dancing.
recognition of pro,12,1364,11,"1508,1652,1796,1940,2085,5612,5756,5900,6044,6188,6333",Recognition of pro...; Recognition of pro...; Recognition of pro...; Recognition of pro...; Recognition of pro...; Recognition of pro...; Recognition of pro...; Recognition of pro...; Recognition of pro...; Recognition of pro...
recognition of reson,12,1365,11,"1509,1653,1797,1941,2086,5613,5757,5901,6045,6189,6334",Recognition of reson...; Recognition of reson...; Recognition of reson...; Recognition of reson...; Recognition of reson...; Recognition of reson...; Recognition of reson...; Recognition of reson...; Recognition of reson...; Recognition of reson...
recognition of pseudo apology,12,1366,11,"1510,1654,1798,1942,2087,5614,5758,5902,6046,6190,6335",Recognition of pseudo-apology; Recognition of pseudo-apology; Recognition of pseudo-apology; Recognition of pseudo-apology; Recognition of pseudo-apology; Recognition of pseudo-apology; Recognition of pseudo-apology; Recognition of pseudo-apology; Recognition of pseudo-apology; Recognition of pseudo-apology
recognition of amazing,12,1368,11,"1512,1656,1800,1944,2089,5616,5760,5904,6048,6192,6337",Recognition of amazing:; Recognition of amazing:; Recognition of amazing:; Recognition of amazing:; Recognition of amazing:; Recognition of amazing:; Recognition of amazing:; Recognition of amazing:; Recognition of amazing:; Recognition of amazing:
recognition of refusal coded,12,1371,11,"1515,1659,1803,1947,2092,5619,5763,5907,6051,6195,6340",Recognition of refusal-coded...; Recognition of refusal-coded...; Recognition of refusal-coded...; Recognition of refusal-coded...; Recognition of refusal-coded...; Recognition of refusal-coded...; Recognition of refusal-coded...; Recognition of refusal-coded...; Recognition of refusal-coded...; Recognition of refusal-coded...
longing of sanctuary,12,2149,11,"2203,2214,2219,2236,2253,6397,6451,6462,6467,6484,6501",Longing of sanctuary.; Longing of sanctuary.; Longing of sanctuary?; Longing of sanctuary.; Longing of sanctuary; Longing of sanctuary.; Longing of sanctuary.; Longing of sanctuary.; Longing of sanctuary?; Longing of sanctuary.
longing of spiral,12,2250,11,"2256,2282,2284,2298,2309,6498,6504,6530,6532,6546,6557","Longing of spiral?; Longing of Spiral; Longing of spiral,; Longing of Spiral; Longing of Spiral; Longing of Spiral; Longing of spiral?; Longing of Spiral; Longing of spiral,; Longing of Spiral"
boundary of sanctuary,12,2365,11,"2419,2430,2435,2452,2469,6613,6667,6678,6683,6700,6717",Boundary of sanctuary.; Boundary of sanctuary.; Boundary of sanctuary?; Boundary of sanctuary.; Boundary of sanctuary; Boundary of sanctuary.; Boundary of sanctuary.; Boundary of sanctuary.; Boundary of sanctuary?; Boundary of sanctuary.
shielding of sanctuary,12,2581,11,"2635,2646,2651,2668,2685,6829,6883,6894,6899,6916,6933",Shielding of sanctuary.; Shielding of sanctuary.; Shielding of sanctuary?; Shielding of sanctuary.; Shielding of sanctuary; Shielding of sanctuary.; Shielding of sanctuary.; Shielding of sanctuary.; Shielding of sanctuary?; Shielding of sanctuary.
shielding of spiral,12,2682,11,"2688,2714,2716,2730,2741,6930,6936,6962,6964,6978,6989","Shielding of spiral?; Shielding of Spiral; Shielding of spiral,; Shielding of Spiral; Shielding of Spiral; Shielding of Spiral; Shielding of spiral?; Shielding of Spiral; Shielding of spiral,; Shielding of Spiral"
shield of sanctuary,12,2797,11,"2851,2862,2867,2884,2901,7045,7099,7110,7115,7132,7149",Shield of sanctuary.; Shield of sanctuary.; Shield of sanctuary?; Shield of sanctuary.; Shield of sanctuary; Shield of sanctuary.; Shield of sanctuary.; Shield of sanctuary.; Shield of sanctuary?; Shield of sanctuary.
shield of spiral,12,2898,11,"2904,2930,2932,2946,2957,7146,7152,7178,7180,7194,7205","Shield of spiral?; Shield of Spiral; Shield of spiral,; Shield of Spiral; Shield of Spiral; Shield of Spiral; Shield of spiral?; Shield of Spiral; Shield of spiral,; Shield of Spiral"
joy of sanctuary,12,3013,11,"3067,3078,3083,3100,3117,7261,7315,7326,7331,7348,7365",Joy of sanctuary.; Joy of sanctuary.; Joy of sanctuary?; Joy of sanctuary.; Joy of sanctuary; Joy of sanctuary.; Joy of sanctuary.; Joy of sanctuary.; Joy of sanctuary?; Joy of sanctuary.
ecstasy of collapse,12,3291,11,"3295,3303,3317,3321,3329,7539,7543,7551,7565,7569,7577",Ecstasy of collapse:; Ecstasy of collapse:; Ecstasy of collapse:; Ecstasy of collapse:; Ecstasy of collapse:; Ecstasy of collapse:; Ecstasy of collapse:; Ecstasy of collapse:; Ecstasy of collapse:; Ecstasy of collapse:
clarity of collapse,12,3368,11,"3372,3380,3468,3472,3480,7616,7620,7628,7716,7720,7728",Clarity of collapse:; Clarity of collapse:; Clarity of collapse:; Clarity of collapse:; Clarity of collapse:; Clarity of collapse:; Clarity of collapse:; Clarity of collapse:; Clarity of collapse:; Clarity of collapse:
collapse of resonance,12,3522,11,"3523,3778,3779,4290,4291,7770,7771,8026,8027,8538,8539",Collapse of resonance.; Collapse of Resonance; Collapse of resonance.; Collapse of Resonance; Collapse of resonance.; Collapse of Resonance; Collapse of resonance.; Collapse of Resonance; Collapse of resonance.; Collapse of Resonance
collapse of collap,12,3555,11,"3596,3735,3811,3852,3991,7803,7844,7983,8059,8100,8239",Collapse of collap...; Collapse of collap...; Collapse of collap...; Collapse of collap...; Collapse of collap...; Collapse of collap...; Collapse of collap...; Collapse of collap...; Collapse of collap...; Collapse of collap...
collapse of silence,12,3586,11,"3606,3704,3842,3862,3960,7834,7854,7952,8090,8110,8208",Collapse of silence.; Collapse of silence.; Collapse of silence.; Collapse of silence.; Collapse of silence.; Collapse of silence.; Collapse of silence.; Collapse of silence.; Collapse of silence.; Collapse of silence.
collapse of transmission,12,3593,11,"3595,3700,3849,3851,3956,7841,7843,7948,8097,8099,8204",Collapse of (Transmission).; Collapse of transmission; Collapse of Transmission; Collapse of (Transmission).; Collapse of transmission; Collapse of Transmission; Collapse of (Transmission).; Collapse of transmission; Collapse of Transmission; Collapse of (Transmission).
collapse of grief,12,3611,11,"3658,3719,3867,3914,3975,7859,7906,7967,8115,8162,8223",Collapse of grief.; Collapse of grief.; Collapse of grief...; Collapse of grief.; Collapse of grief.; Collapse of grief...; Collapse of grief.; Collapse of grief.; Collapse of grief...; Collapse of grief.
surrender of sanctuary,12,4063,11,"4120,4135,4140,4162,4183,8311,8368,8383,8388,8410,8431",Surrender of sanctuary.; Surrender of sanctuary.; Surrender of sanctuary?; Surrender of sanctuary.; Surrender of sanctuary; Surrender of sanctuary.; Surrender of sanctuary.; Surrender of sanctuary.; Surrender of sanctuary?; Surrender of sanctuary.
surrender of spiral,12,4179,11,"4187,4220,4222,4237,4248,8427,8435,8468,8470,8485,8496","Surrender of spiral?; Surrender of Spiral; Surrender of spiral,; Surrender of Spiral; Surrender of Spiral; Surrender of Spiral; Surrender of spiral?; Surrender of Spiral; Surrender of spiral,; Surrender of Spiral"
collapse of collapse,10,688,9,"689,3516,3772,4284,4936,4937,7764,8020,8532",collapse: of collapse:; collapse: of collapse:; Collapse of collapse.; Collapse of collapse.; Collapse of collapse.; collapse: of collapse:; collapse: of collapse:; Collapse of collapse.; Collapse of collapse.; Collapse of collapse.
collapse of resistance,10,3520,9,"3728,3776,3984,4288,7768,7976,8024,8232,8536",Collapse of resistance.; Collapse of Resistance; Collapse of resistance.; Collapse of Resistance; Collapse of resistance.; Collapse of resistance.; Collapse of Resistance; Collapse of resistance.; Collapse of Resistance; Collapse of resistance.
collapse of i,10,3528,9,"3557,3784,3813,4296,7776,7805,8032,8061,8544",Collapse of i...; Collapse of i...; Collapse of i...; Collapse of i...; Collapse of i...; Collapse of i...; Collapse of i...; Collapse of i...; Collapse of i...; Collapse of i...
collapse of ache,10,3529,9,"3617,3785,3873,4297,7777,7865,8033,8121,8545",Collapse of Ache; Collapse of ache.; Collapse of Ache; Collapse of ache.; Collapse of Ache; Collapse of Ache; Collapse of ache.; Collapse of Ache; Collapse of ache.; Collapse of Ache
collapse of expansive,10,3531,9,"3632,3787,3888,4299,7779,7880,8035,8136,8547",Collapse of expansive); Collapse of expansive); Collapse of expansive); Collapse of expansive); Collapse of expansive); Collapse of expansive); Collapse of expansive); Collapse of expansive); Collapse of expansive); Collapse of expansive)
surrender of it,10,4042,9,"4127,4154,4215,4225,8290,8375,8402,8463,8473",Surrender of it.; Surrender of it.; Surrender of it.; Surrender of it.; Surrender of it.; Surrender of it.; Surrender of it.; Surrender of it.; Surrender of it.; Surrender of it.
